City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
526,Yurginskoye,RU,55.29,overcast clouds,56.8189,67.3921,
528,Lipari,IT,64.27,clear sky,38.4674,14.954,Hotel Villa Augustus
533,Vangaindrano,MG,64.18,clear sky,-23.35,47.6,Hotel Fanilo
535,Jumla,NP,56.98,overcast clouds,29.2747,82.1838,Royal Garden Hotel
539,Agidel,RU,63.72,overcast clouds,55.9077,53.9355,Hotel Apaish
540,Gladstone,AU,62.53,clear sky,-23.85,151.25,Highpoint International Hotel
541,Seoul,KR,60.24,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
542,Bessonovka,RU,58.44,overcast clouds,53.3097,45.0407,
543,Rawson,AR,59.36,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
547,Gimli,CA,57.22,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
549,Sumbawanga,TZ,65.25,scattered clouds,-7.9667,31.6167,Matamba II Guest House
553,Joshimath,IN,66.16,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
554,San Giustino,IT,56.86,overcast clouds,43.5495,12.1736,Albergo Fiorentino
557,Gobabis,,65.57,clear sky,-22.45,18.9667,Goba Lodge
559,Tabuk,PH,69.91,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
560,Makueni,KE,63.0,scattered clouds,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
562,Vila Nova De Milfontes,PT,67.24,scattered clouds,37.7238,-8.7828,Casazul
564,Jingdezhen,CN,68.81,overcast clouds,29.2947,117.2079,Garden Hotel
570,Ahipara,NZ,58.33,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
575,Frederick,US,69.26,clear sky,39.4668,-77.3997,Hampton Inn & Suites Frederick-Fort Detrick
581,Juegang,CN,67.91,overcast clouds,32.3174,121.1855,Rudong Y Hotel
584,Charters Towers,AU,66.94,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
586,Lichinga,MZ,64.49,clear sky,-13.3128,35.2406,Residencial Bendiak
587,Moscavide,PT,67.95,few clouds,38.7793,-9.1022,ibis Lisboa Parque das Naçoes
596,Kaeo,NZ,61.32,broken clouds,-35.1,173.7833,Bushido Lodge
597,Yining,CN,67.39,overcast clouds,29.0361,114.5636,Xiushui Hotel
613,Tota,CO,56.71,broken clouds,5.5611,-72.9859,Hotel Termales El Batan
622,Vite,IN,66.52,scattered clouds,17.2833,74.55,Hotel Dreamland
635,Colares,PT,67.98,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
636,Huarmey,PE,66.27,clear sky,-10.0681,-78.1522,Hotel Miramar
641,Asmara,ER,60.87,scattered clouds,15.3333,38.9333,Hamasien Hotel
644,Kitgum,UG,68.7,broken clouds,3.2783,32.8867,Jaflo Gardens Hotel
645,Skegness,GB,55.36,clear sky,53.1436,0.3363,The Royal Hotel
647,Ilhabela,BR,62.1,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
648,Balasheyka,RU,64.76,overcast clouds,53.2841,48.0851,
654,Aras,ES,61.21,overcast clouds,42.5617,-2.356,Jardines de Viana Spa
661,Castel San Pietro Terme,IT,61.84,overcast clouds,44.3986,11.5848,Hotel Castello
682,Hede,CN,57.9,overcast clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
683,Talas,TR,56.07,broken clouds,38.6908,35.5538,Fimaj Residence
687,Ambovombe,MG,68.27,scattered clouds,-25.1667,46.0833,RELAHARA
689,Amboasary,MG,67.37,scattered clouds,-25.0333,46.3833,Le Bon Samaritain
692,Batemans Bay,AU,59.09,moderate rain,-35.7167,150.1833,Batemans Bay Marina Resort
